Empresa,Departamento,Provincia,Distrito
Electronoroeste S.A.,Junin,Yauli,Yauli
Electronoroeste S.A.,Junin,Chupaca,Chupaca
Electronoroeste S.A.,Huancavelica,Huancavelica,Izcuchaca
Electronoroeste S.A.,Huancavelica,Huancavelica,Cuenca
Electronoroeste S.A.,Huancavelica,Huancavelica,Acobambilla
Electronoroeste S.A.,Huancavelica,Angaraes,Lircay
Electronoroeste S.A.,Huancavelica,Churcampa,San miguel de mayocc
Electronoroeste S.A.,Huancavelica,Churcampa,Anco
Electronoroeste S.A.,Huancavelica,Tayacaja,Surcubamba
Electronoroeste S.A.,Pasco,Pasco,Yanacancha
Electronoroeste S.A.,Pasco,Daniel Alcides Carrión,Tapuc
Electronoroeste S.A.,Pasco,Oxapampa,Villa rica
Electronoroeste S.A.,Pasco,Oxapampa,Oxapampa
Electronoroeste S.A.,Amazonas,Luya,Luya
Hidrandina S.A.,La Libertad,Trujillo,Trujillo
Hidrandina S.A.,La Libertad,Trujillo,Huanchaco
Hidrandina S.A.,La Libertad,Trujillo,Moche
Hidrandina S.A.,La Libertad,Trujillo,Victor Larco Herrera
Hidrandina S.A.,La Libertad,Trujillo,La Esperanza
Hidrandina S.A.,La Libertad,Trujillo,Paijan
Hidrandina S.A.,La Libertad,Trujillo,El Porvenir
Hidrandina S.A.,La Libertad,Trujillo,Poroto
Hidrandina S.A.,La Libertad,Trujillo,Florencia de Mora
Hidrandina S.A.,La Libertad,Trujillo,Laredo
Hidrandina S.A.,La Libertad,Trujillo,Pacanga
Hidrandina S.A.,La Libertad,Trujillo,Salaverry
Hidrandina S.A.,La Libertad,Trujillo,Encañada
Hidrandina S.A.,La Libertad,Trujillo,Simbal
Hidrandina S.A.,La Libertad,Trujillo,Viru
Hidrandina S.A.,La Libertad,Trujillo,Chepen
Hidrandina S.A.,La Libertad,Trujillo,Chimbote
Hidrandina S.A.,La Libertad,Trujillo,Huancaspata
Hidrandina S.A.,La Libertad,Trujillo,Alto Trujillo
Hidrandina S.A.,La Libertad,Trujillo,Nuevo chimbote
Hidrandina S.A.,La Libertad,Trujillo,Casma
Hidrandina S.A.,La Libertad,Trujillo,Santa
Hidrandina S.A.,La Libertad,Trujillo,Quillo
Hidrandina S.A.,La Libertad,Trujillo,Pallasca
Hidrandina S.A.,La Libertad,Trujillo,Conchucos
Hidrandina S.A.,La Libertad,Trujillo,Huaraz
Hidrandina S.A.,La Libertad,Trujillo,Pomabamba
Hidrandina S.A.,La Libertad,Trujillo,San marcos
Hidrandina S.A.,La Libertad,Trujillo,Pampas Grande
Hidrandina S.A.,La Libertad,Trujillo,Pira
Hidrandina S.A.,La Libertad,Trujillo,Independencia
Hidrandina S.A.,La Libertad,Trujillo,Cajamarca
Hidrandina S.A.,La Libertad,Trujillo,Chavin de huantar
Hidrandina S.A.,La Libertad,Trujillo,Yungay
Hidrandina S.A.,La Libertad,Trujillo,Carhuaz
Hidrandina S.A.,La Libertad,Trujillo,Huanchay
Hidrandina S.A.,La Libertad,Trujillo,Llipa
Hidrandina S.A.,La Libertad,Trujillo,Huasta
Hidrandina S.A.,La Libertad,Trujillo,Cajamarquilla
Hidrandina S.A.,La Libertad,Ascope,Trujillo
Hidrandina S.A.,La Libertad,Ascope,Huanchaco
Hidrandina S.A.,La Libertad,Ascope,Moche
Hidrandina S.A.,La Libertad,Ascope,Victor Larco Herrera
Hidrandina S.A.,La Libertad,Ascope,La Esperanza
Hidrandina S.A.,La Libertad,Ascope,Paijan
Hidrandina S.A.,La Libertad,Ascope,El Porvenir
Hidrandina S.A.,La Libertad,Ascope,Poroto
Hidrandina S.A.,La Libertad,Ascope,Florencia de Mora
Hidrandina S.A.,La Libertad,Ascope,Laredo
Hidrandina S.A.,La Libertad,Ascope,Pacanga
Hidrandina S.A.,La Libertad,Ascope,Salaverry
Hidrandina S.A.,La Libertad,Ascope,Encañada
Hidrandina S.A.,La Libertad,Ascope,Simbal
Hidrandina S.A.,La Libertad,Ascope,Viru
Hidrandina S.A.,La Libertad,Ascope,Chepen
Hidrandina S.A.,La Libertad,Ascope,Chimbote
Hidrandina S.A.,La Libertad,Ascope,Huancaspata
Hidrandina S.A.,La Libertad,Ascope,Alto Trujillo
Hidrandina S.A.,La Libertad,Ascope,Nuevo chimbote
Hidrandina S.A.,La Libertad,Ascope,Casma
Hidrandina S.A.,La Libertad,Ascope,Santa
Hidrandina S.A.,La Libertad,Ascope,Quillo
Hidrandina S.A.,La Libertad,Ascope,Pallasca
Hidrandina S.A.,La Libertad,Ascope,Conchucos
Hidrandina S.A.,La Libertad,Ascope,Huaraz
Hidrandina S.A.,La Libertad,Ascope,Pomabamba
Hidrandina S.A.,La Libertad,Ascope,San marcos
Hidrandina S.A.,La Libertad,Ascope,Pampas Grande
Hidrandina S.A.,La Libertad,Ascope,Pira
Hidrandina S.A.,La Libertad,Ascope,Independencia
Hidrandina S.A.,La Libertad,Ascope,Cajamarca
Hidrandina S.A.,La Libertad,Ascope,Chavin de huantar
Hidrandina S.A.,La Libertad,Ascope,Yungay
Hidrandina S.A.,La Libertad,Ascope,Carhuaz
Hidrandina S.A.,La Libertad,Ascope,Huanchay
Hidrandina S.A.,La Libertad,Ascope,Llipa
Hidrandina S.A.,La Libertad,Ascope,Huasta
Hidrandina S.A.,La Libertad,Ascope,Cajamarquilla
Hidrandina S.A.,La Libertad,Chepen,Trujillo
Hidrandina S.A.,La Libertad,Chepen,Huanchaco
Hidrandina S.A.,La Libertad,Chepen,Moche
Hidrandina S.A.,La Libertad,Chepen,Victor Larco Herrera
Hidrandina S.A.,La Libertad,Chepen,La Esperanza
Hidrandina S.A.,La Libertad,Chepen,Paijan
Hidrandina S.A.,La Libertad,Chepen,El Porvenir
Hidrandina S.A.,La Libertad,Chepen,Poroto
Hidrandina S.A.,La Libertad,Chepen,Florencia de Mora
Hidrandina S.A.,La Libertad,Chepen,Laredo
Hidrandina S.A.,La Libertad,Chepen,Pacanga
Hidrandina S.A.,La Libertad,Chepen,Salaverry
Hidrandina S.A.,La Libertad,Chepen,Encañada
Hidrandina S.A.,La Libertad,Chepen,Simbal
Hidrandina S.A.,La Libertad,Chepen,Viru
Hidrandina S.A.,La Libertad,Chepen,Chepen
Hidrandina S.A.,La Libertad,Chepen,Chimbote
Hidrandina S.A.,La Libertad,Chepen,Huancaspata
Hidrandina S.A.,La Libertad,Chepen,Alto Trujillo
Hidrandina S.A.,La Libertad,Chepen,Nuevo chimbote
Hidrandina S.A.,La Libertad,Chepen,Casma
Hidrandina S.A.,La Libertad,Chepen,Santa
Hidrandina S.A.,La Libertad,Chepen,Quillo
Hidrandina S.A.,La Libertad,Chepen,Pallasca
Hidrandina S.A.,La Libertad,Chepen,Conchucos
Hidrandina S.A.,La Libertad,Chepen,Huaraz
Hidrandina S.A.,La Libertad,Chepen,Pomabamba
Hidrandina S.A.,La Libertad,Chepen,San marcos
Hidrandina S.A.,La Libertad,Chepen,Pampas Grande
Hidrandina S.A.,La Libertad,Chepen,Pira
Hidrandina S.A.,La Libertad,Chepen,Independencia
Hidrandina S.A.,La Libertad,Chepen,Cajamarca
Hidrandina S.A.,La Libertad,Chepen,Chavin de huantar
Hidrandina S.A.,La Libertad,Chepen,Yungay
Hidrandina S.A.,La Libertad,Chepen,Carhuaz
Hidrandina S.A.,La Libertad,Chepen,Huanchay
Hidrandina S.A.,La Libertad,Chepen,Llipa
Hidrandina S.A.,La Libertad,Chepen,Huasta
Hidrandina S.A.,La Libertad,Chepen,Cajamarquilla
Hidrandina S.A.,Cajamarca,Cajamarca,Trujillo
Hidrandina S.A.,Cajamarca,Cajamarca,Huanchaco
Hidrandina S.A.,Cajamarca,Cajamarca,Moche
Hidrandina S.A.,Cajamarca,Cajamarca,Victor Larco Herrera
Hidrandina S.A.,Cajamarca,Cajamarca,La Esperanza
Hidrandina S.A.,Cajamarca,Cajamarca,Paijan
Hidrandina S.A.,Cajamarca,Cajamarca,El Porvenir
Hidrandina S.A.,Cajamarca,Cajamarca,Poroto
Hidrandina S.A.,Cajamarca,Cajamarca,Florencia de Mora
Hidrandina S.A.,Cajamarca,Cajamarca,Laredo
Hidrandina S.A.,Cajamarca,Cajamarca,Pacanga
Hidrandina S.A.,Cajamarca,Cajamarca,Salaverry
Hidrandina S.A.,Cajamarca,Cajamarca,Encañada
Hidrandina S.A.,Cajamarca,Cajamarca,Simbal
Hidrandina S.A.,Cajamarca,Cajamarca,Viru
Hidrandina S.A.,Cajamarca,Cajamarca,Chepen
Hidrandina S.A.,Cajamarca,Cajamarca,Chimbote
Hidrandina S.A.,Cajamarca,Cajamarca,Huancaspata
Hidrandina S.A.,Cajamarca,Cajamarca,Alto Trujillo
Hidrandina S.A.,Cajamarca,Cajamarca,Nuevo chimbote
Hidrandina S.A.,Cajamarca,Cajamarca,Casma
Hidrandina S.A.,Cajamarca,Cajamarca,Santa
Hidrandina S.A.,Cajamarca,Cajamarca,Quillo
Hidrandina S.A.,Cajamarca,Cajamarca,Pallasca
Hidrandina S.A.,Cajamarca,Cajamarca,Conchucos
Hidrandina S.A.,Cajamarca,Cajamarca,Huaraz
Hidrandina S.A.,Cajamarca,Cajamarca,Pomabamba
Hidrandina S.A.,Cajamarca,Cajamarca,San marcos
Hidrandina S.A.,Cajamarca,Cajamarca,Pampas Grande
Hidrandina S.A.,Cajamarca,Cajamarca,Pira
Hidrandina S.A.,Cajamarca,Cajamarca,Independencia
Hidrandina S.A.,Cajamarca,Cajamarca,Cajamarca
Hidrandina S.A.,Cajamarca,Cajamarca,Chavin de huantar
Hidrandina S.A.,Cajamarca,Cajamarca,Yungay
Hidrandina S.A.,Cajamarca,Cajamarca,Carhuaz
Hidrandina S.A.,Cajamarca,Cajamarca,Huanchay
Hidrandina S.A.,Cajamarca,Cajamarca,Llipa
Hidrandina S.A.,Cajamarca,Cajamarca,Huasta
Hidrandina S.A.,Cajamarca,Cajamarca,Cajamarquilla
Hidrandina S.A.,La Libertad,Viru,Trujillo
Hidrandina S.A.,La Libertad,Viru,Huanchaco
Hidrandina S.A.,La Libertad,Viru,Moche
Hidrandina S.A.,La Libertad,Viru,Victor Larco Herrera
Hidrandina S.A.,La Libertad,Viru,La Esperanza
Hidrandina S.A.,La Libertad,Viru,Paijan
Hidrandina S.A.,La Libertad,Viru,El Porvenir
Hidrandina S.A.,La Libertad,Viru,Poroto
Hidrandina S.A.,La Libertad,Viru,Florencia de Mora
Hidrandina S.A.,La Libertad,Viru,Laredo
Hidrandina S.A.,La Libertad,Viru,Pacanga
Hidrandina S.A.,La Libertad,Viru,Salaverry
Hidrandina S.A.,La Libertad,Viru,Encañada
Hidrandina S.A.,La Libertad,Viru,Simbal
Hidrandina S.A.,La Libertad,Viru,Viru
Hidrandina S.A.,La Libertad,Viru,Chepen
Hidrandina S.A.,La Libertad,Viru,Chimbote
Hidrandina S.A.,La Libertad,Viru,Huancaspata
Hidrandina S.A.,La Libertad,Viru,Alto Trujillo
Hidrandina S.A.,La Libertad,Viru,Nuevo chimbote
Hidrandina S.A.,La Libertad,Viru,Casma
Hidrandina S.A.,La Libertad,Viru,Santa
Hidrandina S.A.,La Libertad,Viru,Quillo
Hidrandina S.A.,La Libertad,Viru,Pallasca
Hidrandina S.A.,La Libertad,Viru,Conchucos
Hidrandina S.A.,La Libertad,Viru,Huaraz
Hidrandina S.A.,La Libertad,Viru,Pomabamba
Hidrandina S.A.,La Libertad,Viru,San marcos
Hidrandina S.A.,La Libertad,Viru,Pampas Grande
Hidrandina S.A.,La Libertad,Viru,Pira
Hidrandina S.A.,La Libertad,Viru,Independencia
Hidrandina S.A.,La Libertad,Viru,Cajamarca
Hidrandina S.A.,La Libertad,Viru,Chavin de huantar
Hidrandina S.A.,La Libertad,Viru,Yungay
Hidrandina S.A.,La Libertad,Viru,Carhuaz
Hidrandina S.A.,La Libertad,Viru,Huanchay
Hidrandina S.A.,La Libertad,Viru,Llipa
Hidrandina S.A.,La Libertad,Viru,Huasta
Hidrandina S.A.,La Libertad,Viru,Cajamarquilla
Hidrandina S.A.,Ancash,Santa,Trujillo
Hidrandina S.A.,Ancash,Santa,Huanchaco
Hidrandina S.A.,Ancash,Santa,Moche
Hidrandina S.A.,Ancash,Santa,Victor Larco Herrera
Hidrandina S.A.,Ancash,Santa,La Esperanza
Hidrandina S.A.,Ancash,Santa,Paijan
Hidrandina S.A.,Ancash,Santa,El Porvenir
Hidrandina S.A.,Ancash,Santa,Poroto
Hidrandina S.A.,Ancash,Santa,Florencia de Mora
Hidrandina S.A.,Ancash,Santa,Laredo
Hidrandina S.A.,Ancash,Santa,Pacanga
Hidrandina S.A.,Ancash,Santa,Salaverry
Hidrandina S.A.,Ancash,Santa,Encañada
Hidrandina S.A.,Ancash,Santa,Simbal
Hidrandina S.A.,Ancash,Santa,Viru
Hidrandina S.A.,Ancash,Santa,Chepen
Hidrandina S.A.,Ancash,Santa,Chimbote
Hidrandina S.A.,Ancash,Santa,Huancaspata
Hidrandina S.A.,Ancash,Santa,Alto Trujillo
Hidrandina S.A.,Ancash,Santa,Nuevo chimbote
Hidrandina S.A.,Ancash,Santa,Casma
Hidrandina S.A.,Ancash,Santa,Santa
Hidrandina S.A.,Ancash,Santa,Quillo
Hidrandina S.A.,Ancash,Santa,Pallasca
Hidrandina S.A.,Ancash,Santa,Conchucos
Hidrandina S.A.,Ancash,Santa,Huaraz
Hidrandina S.A.,Ancash,Santa,Pomabamba
Hidrandina S.A.,Ancash,Santa,San marcos
Hidrandina S.A.,Ancash,Santa,Pampas Grande
Hidrandina S.A.,Ancash,Santa,Pira
Hidrandina S.A.,Ancash,Santa,Independencia
Hidrandina S.A.,Ancash,Santa,Cajamarca
Hidrandina S.A.,Ancash,Santa,Chavin de huantar
Hidrandina S.A.,Ancash,Santa,Yungay
Hidrandina S.A.,Ancash,Santa,Carhuaz
Hidrandina S.A.,Ancash,Santa,Huanchay
Hidrandina S.A.,Ancash,Santa,Llipa
Hidrandina S.A.,Ancash,Santa,Huasta
Hidrandina S.A.,Ancash,Santa,Cajamarquilla
Hidrandina S.A.,La Libertad,Pataz,Trujillo
Hidrandina S.A.,La Libertad,Pataz,Huanchaco
Hidrandina S.A.,La Libertad,Pataz,Moche
Hidrandina S.A.,La Libertad,Pataz,Victor Larco Herrera
Hidrandina S.A.,La Libertad,Pataz,La Esperanza
Hidrandina S.A.,La Libertad,Pataz,Paijan
Hidrandina S.A.,La Libertad,Pataz,El Porvenir
Hidrandina S.A.,La Libertad,Pataz,Poroto
Hidrandina S.A.,La Libertad,Pataz,Florencia de Mora
Hidrandina S.A.,La Libertad,Pataz,Laredo
Hidrandina S.A.,La Libertad,Pataz,Pacanga
Hidrandina S.A.,La Libertad,Pataz,Salaverry
Hidrandina S.A.,La Libertad,Pataz,Encañada
Hidrandina S.A.,La Libertad,Pataz,Simbal
Hidrandina S.A.,La Libertad,Pataz,Viru
Hidrandina S.A.,La Libertad,Pataz,Chepen
Hidrandina S.A.,La Libertad,Pataz,Chimbote
Hidrandina S.A.,La Libertad,Pataz,Huancaspata
Hidrandina S.A.,La Libertad,Pataz,Alto Trujillo
Hidrandina S.A.,La Libertad,Pataz,Nuevo chimbote
Hidrandina S.A.,La Libertad,Pataz,Casma
Hidrandina S.A.,La Libertad,Pataz,Santa
Hidrandina S.A.,La Libertad,Pataz,Quillo
Hidrandina S.A.,La Libertad,Pataz,Pallasca
Hidrandina S.A.,La Libertad,Pataz,Conchucos
Hidrandina S.A.,La Libertad,Pataz,Huaraz
Hidrandina S.A.,La Libertad,Pataz,Pomabamba
Hidrandina S.A.,La Libertad,Pataz,San marcos
Hidrandina S.A.,La Libertad,Pataz,Pampas Grande
Hidrandina S.A.,La Libertad,Pataz,Pira
Hidrandina S.A.,La Libertad,Pataz,Independencia
Hidrandina S.A.,La Libertad,Pataz,Cajamarca
Hidrandina S.A.,La Libertad,Pataz,Chavin de huantar
Hidrandina S.A.,La Libertad,Pataz,Yungay
Hidrandina S.A.,La Libertad,Pataz,Carhuaz
Hidrandina S.A.,La Libertad,Pataz,Huanchay
Hidrandina S.A.,La Libertad,Pataz,Llipa
Hidrandina S.A.,La Libertad,Pataz,Huasta
Hidrandina S.A.,La Libertad,Pataz,Cajamarquilla
Hidrandina S.A.,Ancash,Casma,Trujillo
Hidrandina S.A.,Ancash,Casma,Huanchaco
Hidrandina S.A.,Ancash,Casma,Moche
Hidrandina S.A.,Ancash,Casma,Victor Larco Herrera
Hidrandina S.A.,Ancash,Casma,La Esperanza
Hidrandina S.A.,Ancash,Casma,Paijan
Hidrandina S.A.,Ancash,Casma,El Porvenir
Hidrandina S.A.,Ancash,Casma,Poroto
Hidrandina S.A.,Ancash,Casma,Florencia de Mora
Hidrandina S.A.,Ancash,Casma,Laredo
Hidrandina S.A.,Ancash,Casma,Pacanga
Hidrandina S.A.,Ancash,Casma,Salaverry
Hidrandina S.A.,Ancash,Casma,Encañada
Hidrandina S.A.,Ancash,Casma,Simbal
Hidrandina S.A.,Ancash,Casma,Viru
Hidrandina S.A.,Ancash,Casma,Chepen
Hidrandina S.A.,Ancash,Casma,Chimbote
Hidrandina S.A.,Ancash,Casma,Huancaspata
Hidrandina S.A.,Ancash,Casma,Alto Trujillo
Hidrandina S.A.,Ancash,Casma,Nuevo chimbote
Hidrandina S.A.,Ancash,Casma,Casma
Hidrandina S.A.,Ancash,Casma,Santa
Hidrandina S.A.,Ancash,Casma,Quillo
Hidrandina S.A.,Ancash,Casma,Pallasca
Hidrandina S.A.,Ancash,Casma,Conchucos
Hidrandina S.A.,Ancash,Casma,Huaraz
Hidrandina S.A.,Ancash,Casma,Pomabamba
Hidrandina S.A.,Ancash,Casma,San marcos
Hidrandina S.A.,Ancash,Casma,Pampas Grande
Hidrandina S.A.,Ancash,Casma,Pira
Hidrandina S.A.,Ancash,Casma,Independencia
Hidrandina S.A.,Ancash,Casma,Cajamarca
Hidrandina S.A.,Ancash,Casma,Chavin de huantar
Hidrandina S.A.,Ancash,Casma,Yungay
Hidrandina S.A.,Ancash,Casma,Carhuaz
Hidrandina S.A.,Ancash,Casma,Huanchay
Hidrandina S.A.,Ancash,Casma,Llipa
Hidrandina S.A.,Ancash,Casma,Huasta
Hidrandina S.A.,Ancash,Casma,Cajamarquilla
Hidrandina S.A.,Ancash,Yungay,Trujillo
Hidrandina S.A.,Ancash,Yungay,Huanchaco
Hidrandina S.A.,Ancash,Yungay,Moche
Hidrandina S.A.,Ancash,Yungay,Victor Larco Herrera
Hidrandina S.A.,Ancash,Yungay,La Esperanza
Hidrandina S.A.,Ancash,Yungay,Paijan
Hidrandina S.A.,Ancash,Yungay,El Porvenir
